utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11106 MiB, 63 MiB
0 %, 2 %, 11169 MiB, 11096 MiB, 73 MiB
0 %, 0 %, 11169 MiB, 10955 MiB, 214 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
4 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
4 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
4 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
0 %, 0 %, 11169 MiB, 10953 MiB, 216 MiB
